source_feature,transformed_features,selected_transformed_features,strongest_absolute_coefficient,raw_feature_retained
early_cart_count,1,1,0.7964759188995179,True
first_event_dayofweek,7,6,0.6025684874306751,True
brand_clean_second,145,19,0.41224282610718505,True
category_code_clean_second,92,22,0.39215800538217804,True
first_event_hour,24,20,0.2920195422388107,True
category_code_clean_first,92,14,0.26911749618010833,True
price_for_aggregation_second,2,2,0.26028113984960227,True
early_unique_categories,1,1,0.15829733584395844,True
brand_clean_first,137,13,0.15731225395686546,True
early_event_gap_log1p,1,1,0.06679930591831815,True
early_unique_brands,1,1,0.03916235087557464,True
price_for_aggregation_first,2,1,0.03401871796967642,True
early_zero_price_event_count,1,1,0.01696269153809097,True
early_unique_products,1,1,0.009613919746816855,True
event_type_second,2,1,0.0048751521175804495,True
first_event_is_weekend,2,1,6.902395082505188e-05,True
event_type_first,2,0,0.0,False
